netcdf_name,longname,units,level,standardname
obstacle_range_maximum,Obstacle Range Maximum,m,,
obstacle_range_rate_critical,Obstacle Range Rate Critical,m s-1,,
obstacle_range_rate_minimum,Obstacle Range Rate Minimum,m,,
offset_data_types,Offset Data Types,1,,
offset_up_down,Offset Up Down,1,,
oil_level,"Oil Level, Percentage",percent,,
oil_location,"Oil Location, 1",1,,
on_seconds,Powered on Time,s,,
operating_mode,Operating Mode,1,,
operational_current,Operational Current,mA,,
optical_absorption,Optical Absorption Coefficient,m-1,L2,
optical_backscatter,Optical Backscatter (Red Wavelengths),m-1,L2,volume_backwards_scattering_coefficient_of_radiative_flux_in_sea_water
optode,External Optode Flag,1,,
optode_temperature,Optode Temperature,degrees_Celsius,,
orientation,Orientation,1,,
otn_ifadminstatusdata,Admin Status,1,,
otn_ifadminstatussfp,Admin Status,1,,
otn_ifoperstatusdata,Operational Status,1,,
otn_ifoperstatussfp,Operational Status,1,,
otn_sfpdiagmoduletemperaturedegreescsfp,Temperature,degrees_Celsius,,
otn_sfpdiagmoduletemperaturesfp,Temperature,degrees_Celsius,,
otn_sfpdiagrxinputpowerdbmsfp,Rx Power,dBm,,
otn_sfpdiagrxinputpowersfp,Rx Power,uWatts,,
otn_sfpdiagrxlasertemperaturedegreescsfp,Laser Temperature,degrees_Celsius,,
otn_sfpdiagrxlasertemperaturesfp,Laser Temperature,degrees_Celsius,,
otn_sfpdiagrxmeasuredwavelengthsfp,Wavelength,nM,,
otn_sfpdiagsupplyvoltagesfp,Supply Voltage,V,,
otn_sfpdiagtxbiassfp,Bias Current,uA,,
otn_sfpdiagtxoutputpowerdbmsfp,Tx Power,dBm,,
otn_sfpdiagtxoutputpowersfp,Tx Power,uWatts,,
otn_slotnconfigoperationmode,Configuration Operation Mode,1,,
otn_slotnpmfecqfactorfe,Q Factor Far End,db,,
otn_slotnpmfecqfactorne,Q Factor Near End,db,,
out_12v_i,12V Output Current,ma,,
out_12v_v,12V Output Voltage,V,,
out_24v_i,24V Output Current,ma,,
out_24v_v,24V Output Voltage,V,,
outband_channel_1_snr,Outband Channel 1 SNR,dB,,
outband_channel_2_snr,Outband Channel 2 SNR,dB,,
outband_snr,Outband SNR,dB,,
output_executed_tag,Output Executed Tag,1,,
output_format,Data Output Format Category,1,,
output_format_nortek,Output Format Nortek,1,,
oxy_calphase,Calibrated Phase,counts,,
oxy_calphase_voltage,Calibrated Phase Difference,V,L0,
oxy_calphase_volts,Calibrated Phase Difference,V,L0,
oxy_temp,DOSTA Temperature,counts,,
oxy_temp_voltage,Oxygen Sensor Ambient Temperature,V,L0,
oxy_temp_volts,Oxygen Sensor Temperature,V,,
oxygen,Unprocessed (L0) Dissolved Oxygen Measurement,counts,L0,
oxygen_from_calphase,Dissolved Oxygen Concentration from Stable DO Instrument,umol L-1,L1,
oxygen_phase_delay,Oxygen Phase Delay,microseconds,L0,
oxygen_thermistor_voltage,Oxygen Thermistor Voltage,V,L0,
packet_type,Packet Type,1,,
par,Photosynthetically Active Radiation (400-700 nm) Measurement,counts,L0,
par_adjusted,"Photosynthetically Active Radiation (400-700 nm), Adjusted",umol photons m-2 s-1,L1,omnidirectional_photosynthetic_spherical_irradiance_in_sea_water
par_auv_biospherical_mobile,Photosynthetically Active Radiation (400-700 nm) Scaling Factor,umol photons m-2 s-1 count-1,L1,downwelling_photosynthetic_photon_flux_in_sea_water
par_counts_output,Photosynthetically Active Radiation (400-700 nm),umol photons m-2 s-1,L1,downwelling_photosynthetic_photon_flux_in_sea_water
par_measured,Photosynthetically Active Radiation (400-700 nm),umol photons m-2 s-1,L1,downwelling_photosynthetic_photon_flux_in_sea_water
par_val_v,Photosynthetically Active Radiation (400-700 nm) Measurement,mV,L0,
parad_firmware,Instrument Firmware,1,,
parad_j_par_counts_output,Photosynthetically Active Radiation (400-700 nm),umol photons m-2 s-1,L1,downwelling_photosynthetic_photon_flux_in_sea_water
parad_k_par,Photosynthetically Active Radiation (400-700 nm),umol photons m-2 s-1,L1,downwelling_photosynthetic_photon_flux_in_sea_water
parad_maxrate,Max Sampling Rate,Hz,,
parad_n_auv_supply_voltage,Supply Voltage,V,,
parad_telbaud,Telemetry Baud Rate,bps,,
parad_type,Instrument Type,1,,
parameter_id,Parameter ID,1,,
parameter_name,Parameter Name,1,,
parameter_pointer_device1,Parameter Pointer Device1,1,,
parameter_pointer_device2,Parameter Pointer Device2,1,,
parameter_pointer_device3,Parameter Pointer Device3,1,,
parameter_pointer_prestart,Parameter Pointer Prestart,1,,
parameter_pointer_sami,Parameter Pointer SAMI,1,,
parameter_type,"Parameter Type. 0 == Raw, 1 == MX+B (Linear)",1,,
parameter_unit,Parameter Unit,1,,
partial_pressure_co2_atm,Partial Pressure of CO2 in Atmosphere,uatm,L1,surface_partial_pressure_of_carbon_dioxide_in_air
partial_pressure_co2_ssw,Partial Pressure of CO2 in Surface Sea Water,uatm,L1,surface_partial_pressure_of_carbon_dioxide_in_sea_water
particle_lower_size_bins,Lower Particle Size of Bins,um,L0,
particle_upper_size_bins,Upper Particle Size of Bins,um,L0,
passed_checksum,Checksum Result,1,,
pcb_serial_number,PCB Serial Number,1,,
pcb_thermistor_value,PCB Thermistor Value,counts,,
pcb_type,PCB Type,1,,
pco2_battery_volts,Battery Voltage,V,,
pco2_co2flux,Flux of CO2 from the Ocean into the Amosphere,mol m-2 s-1,L2,surface_upward_mole_flux_of_carbon_dioxide
pco2_seawater,Partial Pressure of CO2 in Seawater,uatm,L1,partial_pressure_of_carbon_dioxide_in_sea_water
pco2w_a_absorbance_blank_434,Optical Absorbance Ratio at 434 Nm - Blank,1,L0,
pco2w_a_absorbance_blank_620,Optical Absorbance Ratio at 620 Nm - Blank,1,L0,
pco2w_b_absorbance_blank_434,Optical Absorbance Ratio at 434 Nm - Blank,1,L0,
pco2w_b_absorbance_blank_620,Optical Absorbance Ratio at 620 Nm - Blank,1,L0,
pco2w_battery_voltage,Battery Voltage,counts,,
pco2w_thermistor_temperature,Thermistor Temperature,degrees_Celsius,L1,
pco2w_thermistor_voltage,Thermistor Voltage,counts,,
pct_gd_press,"Pct Gd Press, %",percent,,
pct_gd_surf,"Pct Gd Surf, %",percent,,
pct_gd_vel,"Pct Gd Vel, %",percent,,
pd12_packet_id,PD12 Packet ID,1,,
peak_a,Peak PMTA Output,V,L0,
peak_b,Peak PMTB Output,V,L0,
peak_wave_direction,Peak Wave Direction,degrees,L0,
peak_wave_period,Peak Wave Period,sec,L0,
percent_bad_beams,Percent Bad Beams,percent,,
percent_good_3beam,Percent Good 3Beam,percent,,
percent_good_4beam,Percent Good 4Beam,percent,,
percent_good_beam1,Beam 1 Percent Good,percent,,
percent_good_beam2,Beam 2 Percent Good,percent,,
percent_good_beam3,Beam 3 Percent Good,percent,,
percent_good_beam4,Beam 4 Percent Good,percent,,
percent_good_beam5,Percent Good Beam 5,percent,,
percent_good_id,Percent Good ID,1,,
percent_good_min,Percent Good Minimum,percent,,
percent_transforms_reject,Percent Transforms Reject,percent,,
percent_wave_cell_position,Percent Wave Cell Position,1,,
persistor_cf_bios_version,"Persistor, Bios Version",1,,
persistor_cf_picodos_version,"Persistor, Picodos Version",1,,
persistor_cf_serial_number,"Persistor, CF Card Serial Number",1,,
pfe_hvps1_on,HVPS1 On,1,,
pfe_hvps2_on,HVPS2 On,1,,
pfe_i_gnd,Ground Current,A,,
pfe_i_ncbl,Current North Cable LIne,A,,
pfe_i_phasea,Current Phase A,A,,
pfe_i_phaseb,Current Phase B,A,,
pfe_i_phasec,Current Phase C,A,,
pfe_i_scbl,Current South Cable Line,A,,
pfe_imon_1,Current Monitor 1,A,,
pfe_imon_2,Current Monitor 2,A,,
pfe_mode,PFE Mode,1,,
pfe_p_hvps1,Power HVPS 1,kWatts,,
pfe_p_hvps2,Power HVPS 2,kWatts,,
pfe_p_ncbl,Power North Cable Line,kWatts,,
pfe_p_scbl,Power South Cable Line,kWatts,,
pfe_v_gnd,Ground Voltage,V,,
pfe_v_ncbl,Voltage North Cable Line,V,,
pfe_v_phasea,Voltage Phase A,V,,
pfe_v_phaseb,Voltage Phase B,V,,
pfe_v_phasec,Voltage Phase C,V,,
pfe_v_scbl,Voltage South Cable Line,V,,
pfe_vmon_1,Voltage Monitor 1,V,,
pfe_vmon_2,Voltage Monitor 2,V,,
ph_counter_current_counts,pH Counter Current Raw Counts,counts,L0,
ph_current_counts,pH Current Raw Counts,counts,L0,
ph_external_reference_voltage,pH External Reference Voltage,V,L1,
ph_external_reference_voltage_counts,pH External Reference Voltage Raw Counts,counts,L0,
ph_light_measurements,Array of PH Light Measurements,counts,,
ph_seawater,pH of Seawater Reported On Total Scale,1,L2,sea_water_ph_reported_on_total_scale
ph_total,pH of Seawater Reported On Total Scale,1,L2,sea_water_ph_reported_on_total_scale
ph_voltage_counts,pH Voltage Raw Counts,counts,L0,
phsen_abcdef_signal_intensity_434,Optical Aborbance Signal Intensity at 434 Nm,counts,L0,
phsen_abcdef_signal_intensity_578,Optical Absorbance Signal Intensity at 578 Nm,counts,L0,
phsen_battery_volts,Battery Voltage,V,,
phsen_thermistor_temperature,Internal Thermistor Temperature of the pH Sensor,V,L1,
pic_balance_enabled,"Pic Balance Enabled, Mask",mask,,
pic_cell_voltage_1,Pic Cell Voltage 1,V,,
pic_cell_voltage_2,Pic Cell Voltage 2,V,,
pic_cell_voltage_3,Pic Cell Voltage 3,V,,
pic_cell_voltage_4,Pic Cell Voltage 4,V,,
pic_cell_voltage_5,Pic Cell Voltage 5,V,,
pic_cell_voltage_6,Pic Cell Voltage 6,V,,
pic_cell_voltage_7,Pic Cell Voltage 7,V,,
pic_charge_value,Pic Charge Value,counts,,
pic_faults,"Pic Faults, Mask",mask,,
pic_fet_state,"Pic Fet State, Mask",mask,,
pic_version,PIC Code Version Number,1,,
pickup_continuity,Pickup Continuity,counts,,
pickup_status,Pickup Status,counts,,
pinging,Pinging,1,,
pings,Pings,counts,,
pings_per_ensemble,Pings Per Ensemble,1,,
pitch,Instrument Pitch,degrees,,platform_pitch_angle
pitch_command,Pitch Command,counts,,
pitch_decidegree,Compass Pitch,degrees,,platform_pitch_angle
pitch_deg,Pitch,degree,,
pitch_fin_position,Pitch Fin Position,counts,,
pitch_goal,Pitch Goal,degree,,
pitch_max,Pitch - Maximum,rad,,
pitch_min,Pitch - Minimum,rad,,
pitch_rate,Pitch Rate,degree s-1,,
pitch_std,Pitch - Standard Deviation,rad,,
pitch_stdev,Pitch Standard Deviation,ddegrees,L0,
pitch_time_series,Pitch Time Series,cdegrees,,
pitch_up_down,Pitch Up Down,1,,
pmi_sample_schedule,PMI Sample Schedule,1,,
pmt_trigger,PMT Trigger Selection,,L1,
pmta_gain,Scattering Channel Gain,V,L0,
pmta_threshold,PMTA Trigger Threshold,V,L0,
pmtb_gain,Chlorophyll Channel Gain,V,L0,
pmtb_threshold,PMTB Trigger Threshold,V,L0,
pn_currentsustainingload,CSL State,1,,
pn_currentsustainingloadimbalancecurrent,CSL Imbalance Current,mA,,
pn_currentsustainingloadportcurrent,CSL Current,A,,
pn_hotelcurrent,Hotle Current,A,,
pn_inputbuscurrent,Input Bus Current,A,,
pn_inputearthleakage,Input Earth Leakage,mA,,
pn_inputvoltage,Input Voltage,V,,
pn_monitoringboardhumidity,MVPC Humidity,percent,,
pn_monitoringboardtemperature,MVPC Tempeature 2,degrees_Celsius,,
pn_mvpcexpansionport1current,MVPC Expansion Port 1 Current,A,,
pn_mvpcexpansionport2current,MVPC Expansion Port 2 Current,A,,
pn_mvpcinputcurrent,MVPC Input Current,A,,
pn_mvpcinputvoltage,MVPC Input Voltage,V,,
pn_mvpcpressure1,MVPC Pressure 1,PSI,,
pn_mvpcpressure2,MVPC Pressure 2,PSI,,
pn_mvpctemperature,MVPC Temperature,degrees_Celsius,,
pn_oob_sfp_current,SFP Current,A,,
pn_oob_sfp_enabled,SFP Enabled,1,,
pn_oob_sfp_inpackets,In Packets,count,,
pn_oob_sfp_linkdownstate,Link Down,1,,
pn_oob_sfp_outpackets,Out Packets,count,,
pn_oob_sfp_rxerrors,Rx Error Count,count,,
pn_oob_sfp_rxpower,Rx Power,dBm,,
pn_oob_sfp_temp,Temperature,degrees_Celsius,,
pn_oob_sfp_timeoutstate,Timeout State,1,,
pn_oob_sfp_txpower,Tx Power,dBm,,
pn_oob_sfp_voltage,Voltage,V,,
pn_pitch,Pitch,degrees,,
pn_primaryoobtemperature,OOB Temperature,degrees_Celsius,,
pn_primarypowermoduletemperature,Primary Power Temperature,degrees_Celsius,,
pn_primaryswtemperature,Primary SW Temperature,degrees_Celsius,,
pn_roll,Roll,degrees,,
pn_scienceport1_current,Science Port 1 Current,A,,
pn_scienceport1_imbalancecurrent,Science Port 1 Imbalance Current,mA,,
pn_scienceport1_status,Science Port 1 State,1,,
pn_scienceport2_current,Science Port 2 Current,A,,
pn_scienceport2_imbalancecurrent,Science Port 2 Imbalance Current,mA,,
pn_scienceport2_status,Science Port 2 State,1,,
pn_scienceport3_current,Science Port 3 Current,A,,
pn_scienceport3_imbalancecurrent,Science Port 3 Imbalance Current,mA,,
pn_scienceport3_status,Science Port 3 State,1,,
pn_scienceport4_current,Science Port 4 Current,A,,
pn_scienceport4_imbalancecurrent,Science Port 4 Imbalance Current,mA,,
pn_scienceport4_status,Science Port 4 State,1,,
pn_scienceport5_current,Science Port 5 Current,A,,
pn_scienceport5_imbalancecurrent,Science Port 5 Imbalance Current,mA,,
pn_scienceport5_status,Science Port 5 State,1,,
pn_scienceport6_current,Science Port 6 Current,A,,
pn_scienceport6_imbalancecurrent,Science Port 6 Imbalance Current,mA,,
pn_scienceport6_status,Science Port 6 State,1,,
pn_scienceport7_current,Science Port 7 Current,A,,
pn_scienceport7_imbalancecurrent,Science Port 7 Imbalance Current,mA,,
pn_scienceport7_status,Science Port 7 State,1,,
pn_secondaryoobtemperature,Voltage Monitor 2,degrees_Celsius,,
pn_secondarypowermoduletemperature,Voltage Monitor 2,degrees_Celsius,,
pn_secondaryswtemperature,Voltage Monitor 2,degrees_Celsius,,
port_number,Port Number,1,,
port_timestamp,Port Timestamp,seconds since 1900-01-01,,
potassium_concentration,Potassium Concentration,mmol/kg,,
power_board_temperature,Power Board Temperature,ddeg_C,,
power_fail,Power Fail,1,,
power_fail_reset,Power Fail Reset,1,,
power_level_pcr1,Power Level Pcr1,1,,
power_level_pcr2,Power Level Pcr2,1,,
power_level_tcm1,Power Level Tcm1,1,,
power_level_tcm2,Power Level Tcm2,1,,
power_manager_error_mask,Power Manager Error Mask,1,,
power_manager_status,Power Manager Status,1,,
power_on_invalid,Power on Invalid,1,,
power_on_reset,Power on Reset,1,,
power_timing_type,Power Timing Type,1,,
power_timing_version,Power Timing Version,1,,
power_to_battery1,Power to Battery1,mW,,
power_to_battery2,Power to Battery2,mW,,
powered_on,Powered on Indicator,1,,
pps_counts,PPS Message Counts,counts,,
pr_max_dev,Pr Max Dev,degrees,,
precipitation,Precipitation,mm,L1,lwe_thickness_of_precipitation_amount
predefined_output_sequence,Predefined Output Sequence,counts,,
predicted_tide,Predicted Tide,m,L2,
preferred_timestamp,Preferred Timestamp,,,
preprocessing_software_version,Preprocessing Software Version,1,,
presf_tide_pressure_number,Seawater Tide Pressure Number,counts,L0,
presf_tide_temperature_number,Seawater Tide Temperature Number,counts,L0,
presf_time,"Time, UTC",seconds since 2000-01-01,,
presf_wave_burst_pressure_number,Seawater Wave Pressure Numbers,counts,L0,
presf_wave_press_temp_comp_number,Seawater Wave Pressure Temperature Compensation Number,counts,L0,
press_coeff_b,Pressure Coefficient B,1,,
press_coeff_m,Pressure Coefficient M,1,,
press_coeff_pa0,Pressure Coefficient PA0,1,,
press_coeff_pa1,Pressure Coefficient PA1,1,,
press_coeff_pa2,Pressure Coefficient PA2,1,,
press_coeff_pc1,Pressure Coefficient C1,1,,
press_coeff_pc2,Pressure Coefficient C2,1,,
press_coeff_pc3,Pressure Coefficient C3,1,,
press_coeff_pd1,Pressure Coefficient D1,1,,
press_coeff_pd2,Pressure Coefficient D2,1,,
press_coeff_poffset,Pressure Coefficient Offset,psi,,
press_coeff_pslope,Pressure Coefficient Pslope,1,,
press_coeff_pt1,Pressure Coefficient T1,1,,
press_coeff_pt2,Pressure Coefficient T2,1,,
press_coeff_pt3,Pressure Coefficient T3,1,,
press_coeff_pt4,Pressure Coefficient T4,1,,
press_coeff_ptca0,Pressure Coefficient PTCA0,1,,
press_coeff_ptca1,Pressure Coefficient PTCA1,1,,
press_coeff_ptca2,Pressure Coefficient PTCA2,1,,
press_coeff_ptcb0,Pressure Coefficient PTCB0,1,,
press_coeff_ptcb1,Pressure Coefficient PTCB1,1,,
press_coeff_ptcb2,Pressure Coefficient PTCB2,1,,
press_coeff_ptempa0,Pressure Coefficient PTempA0,1,,
press_coeff_ptempa1,Pressure Coefficient PTempA1,1,,
press_coeff_ptempa2,Pressure Coefficient PTempA2,1,,
press_coeff_pu0,Pressure Coefficient U0,1,,
press_coeff_py1,Pressure Coefficient Y1,1,,
press_coeff_py2,Pressure Coefficient Y2,1,,
press_coeff_py3,Pressure Coefficient Y3,1,,
press_spec,Press Spec,1,,
press_trans_temp,Nano-resolution Pressure Transducer Temperature,degrees_Celsius,,
pressure,CTD Seawater Pressure,daPa,L1,sea_water_pressure
pressure_coeff_c1,Pressure Coefficient C1,1,,
pressure_coeff_c2,Pressure Coefficient C2,1,,
pressure_coeff_c3,Pressure Coefficient C3,1,,
pressure_coeff_offset,Pressure Coefficient Offset,1,,
pressure_counts,Pressure Counts,counts,L0,
pressure_mbar,Pressure Mbar,mBar,,
pressure_range,Pressure Range,psi,,
pressure_sensor,Pressure Sensor,1,,
pressure_sensor_range,Pressure Sensor Range,psi,,
pressure_sensor_serial_number,Pressure Sensor Serial Number,1,,
pressure_sensor_type,Pressure Sensor Type Category,1,,
pressure_signal_period,Pressure Signal Period,ps,L0,
pressure_temp,Internal Pressure Sensor Temperature,counts,L1,
pressure_temperature_counts,Pressure Temperature Counts,counts,L0,
pressure_variance,Pressure Variance,daPa,,
prime_sample,Prime with Sample,1,L0,
processing_magnitude_beam1,"Processing Magnitude, Beam 1",1,,
processing_magnitude_beam2,"Processing Magnitude, Beam 2",1,,
processing_magnitude_beam3,"Processing Magnitude, Beam 3",1,,
processing_magnitude_beam4,"Processing Magnitude, Beam 4",1,,
processing_time,Processing Time,1,,
product_number,Product Number,1,,
profile_type,Profile Type,1,,
profiler_timestamp,"Surface-Piercing Profiler Timestamp, UTC",seconds since 1970-01-01,,
profiles,Profiles,counts,,
ps_freq_hi,Ps Frequency High,cHz,,
ps_std,Ps Std,1,,
psd_mean_directional,PSD Mean Directional,m^2 Hz-1,L0,
psd_non_directional,PSD Non Directional,m^2 Hz-1,L0,
pspec_dat,Pspec Dat,mm sqrt(Hz)-1,,
pspec_num_freq,Pspec Num Freq,counts,,
ptemp_frequency,Pressure Temperature Frequency,Hz,,
ptt_id1,PPT ID#1 Hex Message,1,,
ptt_id2,PPT ID#2 Hex Message,1,,
ptt_id3,PPT ID#3 Hex Message,1,,
pump1_state,Sheath Pump 1 State,1,L0,
pump2_state,Sheath Pump 2 State,1,L0,
pump_current,Pump Current,mA,,
pump_delay,Pump Delay,counts,,
pump_measure_t,Pump Measure,counts,,
pump_off_flush,Pump-Off Flush,counts,,
pump_off_to_measure,Pump-Off to Measure,counts,,
pump_on_flush,Pump-On Flush,counts,,
pump_on_ind,Pump-On Ind,counts,,
pump_on_to_measure,Pump on to Measure,s,,
pump_pulse,Pump Pulse,s,,
pump_voltage,Sheath Pump Voltage,V,L0,
pv_off_ind,PV-Off Ind,counts,,
pwr_board_mode,Power Board Mode,1,,
quartz_pressure_sensor_serial_number,Quartz Pressure Sensor Serial Number,1,,
range,Range,m,,
range_1,Range 1,m,,
range_2,Range 2,m,,
range_maximum,Range Maximum,m,,
range_minimum,Range Minimum,m,,
range_setting,Range Setting,m,,
raw,Live Video,,,
raw_conductivity,Unprocessed (L0) Sea Surface Electrical Conductivity Measurement,counts,L0,
raw_internal_temp,Raw Internal Temperature,counts,L0,
raw_signal_beta,Optical Backscatter (Red Wavelengths) Measurement,counts,L0,
raw_signal_beta_volts,Optical Backscatter (Red Wavelengths) Measurement,V,L0,
raw_signal_cdom,Fluorometric CDOM Measurement,counts,L0,
raw_signal_chl,Fluorometric Chlorophyll-a Measurement,counts,L0,
raw_signal_chl_volts,Fluorometric Chlorophyll-a Measurement,V,L0,
raw_temperature,Thermistor Voltage,mV,L0,
raw_time_microseconds,Deprecated - see PD12,us,,
raw_time_seconds,Deprecated - see PD12,seconds since 1970-01-01,,
raw_value,Raw Value,counts,,
real_time_clock,Real Time Clock Array,1,,
real_time_clock_2,Real Time Clock Array,1,,
reason,"Reason, Mask",mask,,
rec_dir_spec,Rec Dir Spec,1,,
rec_spectra,Rec Spectra,1,,
rec_time_series,Rec Time Series,1,,
receive_channel_1,Receive Channel 1,counts,,
receive_channel_2,Receive Channel 2,counts,,
receive_length,Receive Length,counts,,
received_bits,"Received Bits, Mask",mask,,
recent_record_interval,Recent Record Interval (R-Interval),min,,
record_end_on_error,Record End on Error,1,,
record_end_on_time,Record End on Time,1,,
record_length,Record Length,1,,
record_memory_full,Record Memory Full,1,,
record_time,"Record Time, UTC",seconds since 1904-01-01,,
record_time_1904_uint32,Record Time Since 1904-01-01,seconds since 1904-01-01,,
record_type,Record Type,1,,
recorder_installed,Recorder Installed,1,,
recorder_size,Recorder Size (*65536 Bytes),bytes,,
recording_active,Recording Active,1,,
recording_mode,Recording Mode,1,,
recording_time,Recording Time,s,,
records_to_follow,Number of Records to Follow,1,,
red_amplitude,Red Light Amplitude,mV,,
red_phase,Red Light Phase,degrees,,
ref_channel_average,Reference Channel Average,counts,,
ref_channel_variance,Reference Channel Variance,1,,
ref_temp_degc,Reference Thermistor Temperature,degrees_Celsius,,
ref_temp_volts,Thermistor Temperature Measurement,V,L0,
reference_designator,,,,
reference_error,Reference Error,ppm,,
reference_layer_start,Reference Layer Start,1,,
reference_layer_stop,Reference Layer Stop,1,,
reference_light_measurements,Array of Reference Light Measurements,counts,,
reference_oscillator_freq,Reference Oscillator Frequency,Hz,,
refill_debubble,Refill after Debubble,1,L0,
reformer_error_mask,Reformer Error Mask,1,,
reformer_fuel_pressure,Reformer Fuel Pressure,mPSI,,
reformer_temperature,Reformer Temperature,ddeg_C,,
relative_humidity,Relative Humidity,percent,L1,relative_humidity
remaining_capacity,Remaining Capacity/H,mA h-1,,
remove_bias,Remove Bias,1,,
reply_age_1,Reply Age 1,ms,,
reply_age_2,Reply Age 2,ms,,
reserved,Reserved,1,,
reserved_bit_easyq,Reserved Bit - EasyQ,1,,
resistivity_5,Resistivity V1,V,L0,
resistivity_temp_degc,Resistivity Temperature,degrees_Celsius,,
resistivity_temp_volts,Thermocouple Temperature Measurement,V,L0,
resistivity_x1,Resistivity V2,V,L0,
resistivity_x5,Resistivity V3,V,L0,
rms_error,RMS Error,umol L-1,,
roi_count,Total ROIs,counts,L0,
roi_height,Region of Interest Height,pixels,L0,
roi_status,ROI Status,,L0,
roi_width,Region of Interest Width,pixels,L0,
roi_x,ROI x-position,pixels,L0,
roi_y,ROI y-position,pixels,L0,
rois_per_ml,Regions of Interest per mL Volume Analyzed,counts mL-1,L2,
roll,Instrument Roll,degrees,,platform_roll_angle
roll_decidegree,Compass Roll,degrees,,platform_roll_angle
roll_deg,Roll,degree,,
roll_max,Roll - Maximum,rad,,
roll_min,Roll - Minimum,rad,,
roll_rate,Roll Rate,degree s-1,,
roll_std,Roll - Standard Deviation,rad,,
roll_stdev,Roll Standard Deviation,ddegrees,L0,
roll_time_series,Roll Time Series,cdegrees,,
roll_up_down,Roll Up Down,1,,
rope_on_drum,Rope on Drum,m,,
rte_avg_q_current,Average Q Current,A,,
rte_avg_supply_voltage,Average Supply Voltage,V,,
rte_avg_voltage,Average Voltage,V,,
rte_coulombs,Coulombs,C,,
rte_hits,Hits,counts,,
rte_state,State,1,,
rte_time,Measurement Date,1,,
rubidium_concentration,Rubidium Concentration,umol/kg,,
rudder_command,Rudder Command,counts,,
rudder_fin_position,Rudder Fin Position,counts,,
run_beads,Run Beads,1,L0,
run_fast,Run Fast,1,L0,
run_fast_factor,Run Fast Syringe Speed Multiplier,1,L0,
run_time,Sample Cumulative Run Time,s,L0,
run_time_tr,Trigger Run Time,s,L0,
s_inverse_bx,S Inverse Bx,1,,
s_inverse_by,S Inverse By,1,,
s_inverse_bz,S Inverse Bz,1,,
s_inverse_err,S Inverse Error,1,,
salinity,Transducer Salinity,1,,
salinity_corrected_nitrate,Nitrate Concentration - Temp and Sal Corrected,umol L-1,L2,
salinity_delay,Salinity Delay,counts,,
sami_sample_schedule,SAMI Sample Schedule,1,,
sample_adc_file_row_number,Sample ADC File Row Number as ROI number,,L0,
sample_delay,Sample Delay,ms,,
sample_filename,Sample File Name without extension,,L0,
sample_interval,Sampling Interval,s,,
sample_length,Bytes Per Sample,bytes,,
sample_num,Sample Number in Current Sampling Interval,1,L0,
sample_number,Sample Number,count,L0,
sample_on_sync,Sample on Sync,1,,
sample_period,Sample Period,s,,
sample_rate,Sample Rate,s,,
sample_speed,Sampling Speed,mins,L0,
sample_time,Sample Time,1,,
sample_timestamp,Instrument Sample Run Start Time,seconds since 1900-01-01,L1,
sample_type,Sample Run Type,1,L1,
sample_volume,Seawater Sample Syringe Volume,mL,L0,
sample_volume_skip,Sample volume to skip,mL,L0,
samples_collected,Samples Collected,counts,,
samples_free,Number of Samples Free,counts,,
samples_per_burst,Samples Per Burst,counts,,
samples_per_measure,Samples Per Measure,counts,,
sampling_interval,Sampling Interval,1,,
sampling_state,Sampling Status,1,,
sampling_status_code,Sampling Status Code,1,,
sbe38,External SBE38 Flag,1,,
sbe63,SBE63 Pressure Sensor Flag,1,,
scale_spec,Scale Spec,1,,
scaled_wave_burst_seafloor_pressure,Seafloor Pressure,dbar,L1,sea_water_pressure_at_sea_floor
scaling,Scaling,1,,
scans_to_average,Scans to Average,counts,,
sci_abs_oxygen,Dissolved Oxygen Concentration from Stable DO Instrument - Deprecated - to be replaced with PD14,umol kg-1,L2,moles_of_oxygen_per_unit_mass_in_sea_water
sci_bb3slo_b470_sig,BB3SLO B470 Sig,1,L0,
sci_bb3slo_b470_units,Total Volume Scattering Coefficient,m-1 sr-1,L1,
sci_bb3slo_b532_sig,BB3SLO B532 Sig,1,L0,
sci_bb3slo_b532_units,Total Volume Scattering Coefficient,m-1 sr-1,L1,
sci_bb3slo_b660_sig,BB3SLO B660 Sig,1,L0,
sci_bb3slo_b660_units,Total Volume Scattering Coefficient,m-1 sr-1,L1,
sci_bsipar_is_installed,Bsipar Is Installed,1,,
sci_bsipar_par,"Photosynthetically Active Radiation (400-700 nm), Uncorrected",umol photons m-2 s-1,,
sci_bsipar_sensor_volts,Photosynthetically Active Radiation (400-700 nm) Raw Voltage,V,L0,
sci_bsipar_supply_volts,Bsipar Supply Volts,V,,
sci_bsipar_temp,PAR Sensor Temperature,degrees_Celsius,,
sci_ctd41cp_is_installed,Ctd41cp Is Installed,1,,
sci_ctd41cp_timestamp,CTD Timestamp,seconds since 1970-01-01,,
sci_dvl_is_installed,DVL Is Installed,1,,
sci_flbb_bb_ref,Optical Backscatter Reference,1,,
sci_flbb_bb_sig,Optical Backscatter (Red Wavelengths) Measurement,1,L0,
sci_flbb_bb_units,Total Volume Scattering Coefficient,m-1 sr-1,L1,
sci_flbb_chlor_ref,Sci Flbb Chlor Ref,1,,
sci_flbb_chlor_sig,Fluorometric Chlorophyll-a Measurement,1,L0,
sci_flbb_chlor_units,Fluorometric Chlorophyll-a Concentration,ug L-1,L1,mass_concentration_of_chlorophyll_a_in_sea_water
